TOWNSHIPID;TOWN_NAME_DESC
835;CLEVELAND EXT.5
836;CLEVELAND EXT.6
837;CLEVELAND EXT.7
838;CLYNTON
839;COMMERCIA
840;COMMERCIA EXT.1
841;COMMERCIA EXT.2
842;COMMERCIA EXT.3
843;COMMERCIA EXT.4
844;COMMERCIA EXT.5
845;COMMERCIA EXT.6
846;COMMERCIA EXT.8
847;COMMERCIA EXT.10
848;COMMERCIA EXT.11
849;COMMERCIA EXT.12
850;COMMERCIA EXT.15
851;COMMERCIA EXT.18
852;COMMERCIA EXT.19
853;COMMERCIA EXT.20
854;COMMERCIA EXT.21
855;COMMERCIA EXT.22
856;COMMERCIA EXT.34
857;COMMERCIA EXT.40
858;COMMERCIA EXT.41
859;COMPTONVILLE
860;CONSTANTIA KLOOF
861;CONSTANTIA KLOOF EXT.1
862;CONSTANTIA KLOOF EXT.2
863;CONSTANTIA KLOOF EXT.3
864;CONSTANTIA KLOOF EXT.4
865;CONSTANTIA KLOOF EXT.5
866;CONSTANTIA KLOOF EXT.6
867;CONSTANTIA KLOOF EXT.7
868;CONSTANTIA KLOOF EXT.8
869;CONSTANTIA KLOOF EXT.9
870;CONSTANTIA KLOOF EXT.10
871;CONSTANTIA KLOOF EXT.11
872;CONSTANTIA KLOOF EXT.12
873;CONSTANTIA KLOOF EXT.13
874;CONSTANTIA KLOOF EXT.16
875;CONSTANTIA KLOOF EXT.17
876;CONSTANTIA KLOOF EXT.18
877;CONSTANTIA KLOOF EXT.20
878;CONSTANTIA KLOOF EXT.21
879;CONSTANTIA KLOOF EXT.22
880;CONSTANTIA KLOOF EXT.24
881;CONSTANTIA KLOOF EXT.25
882;CONSTANTIA KLOOF EXT.27
883;CONSTANTIA KLOOF EXT.28
884;CONSTANTIA KLOOF EXT.29
885;CONSTANTIA KLOOF EXT.30
886;CONSTANTIA KLOOF EXT.31
887;CONSTANTIA KLOOF EXT.34
